index,label,test_support,correct,per_class_accuracy,independent_real_tested
318,gothitelle,4,4,1.0,True
319,gothorita,4,3,0.75,True
320,gouging-fire,4,4,1.0,True
321,grafaiai,4,4,1.0,True
322,granbull,4,3,0.75,True
323,grapploct,4,4,1.0,True
324,great-tusk,4,4,1.0,True
325,greavard,4,4,1.0,True
326,greedent,4,4,1.0,True
327,greninja,4,4,1.0,True
328,grimer-alola,4,4,1.0,True
329,grimmsnarl,4,4,1.0,True
330,grookey,4,4,1.0,True
331,grotle,4,4,1.0,True
332,grovyle,4,4,1.0,True
333,grumpig,4,4,1.0,True
334,gulpin,4,4,1.0,True
335,gumshoos,4,4,1.0,True
336,gurdurr,4,4,1.0,True
337,hakamo-o,4,4,1.0,True
338,happiny,4,4,1.0,True
339,hariyama,4,4,1.0,True
340,hatenna,4,2,0.5,True
341,hatterene,4,4,1.0,True
342,hattrem,4,4,1.0,True
343,hawlucha,4,3,0.75,True
344,haxorus,4,3,0.75,True
345,helioptile,4,4,1.0,True
346,heracross,4,4,1.0,True
347,herdier,4,4,1.0,True
348,hitmontop,4,4,1.0,True
349,honchkrow,4,4,1.0,True
350,hoothoot,4,4,1.0,True
351,hoppip,4,3,0.75,True
352,houndstone,4,4,1.0,True
353,hydrapple,4,4,1.0,True
354,igglybuff,4,4,1.0,True
355,illumise,4,4,1.0,True
356,impidimp,4,4,1.0,True
357,incineroar,4,3,0.75,True
358,indeedee-male,4,4,1.0,True
359,inteleon,4,3,0.75,True
360,iron-boulder,4,4,1.0,True
361,iron-bundle,4,3,0.75,True
362,iron-crown,4,2,0.5,True
363,iron-hands,4,4,1.0,True
364,iron-jugulis,4,4,1.0,True
365,iron-leaves,4,4,1.0,True
366,iron-moth,4,4,1.0,True
367,iron-thorns,4,4,1.0,True
368,iron-treads,4,4,1.0,True
369,iron-valiant,4,4,1.0,True
370,ivysaur,4,4,1.0,True
371,jangmo-o,4,4,1.0,True
372,jigglypuff,4,4,1.0,True
373,jirachi,4,3,0.75,True
374,jumpluff,4,4,1.0,True
375,kabutops,4,4,1.0,True
376,kakuna,4,4,1.0,True
377,karrablast,4,4,1.0,True
378,kecleon,4,4,1.0,True
379,keldeo-ordinary,4,4,1.0,True
380,kilowattrel,4,4,1.0,True
381,kingambit,4,4,1.0,True
382,kirlia,4,4,1.0,True
383,klawf,4,4,1.0,True
384,kleavor,4,4,1.0,True
385,klefki,4,4,1.0,True
386,komala,4,4,1.0,True
387,kommo-o,4,4,1.0,True
388,koraidon,4,4,1.0,True
389,koraidon-gliding-build,0,0,,False
390,koraidon-sprinting-build,0,0,,False
391,kricketot,4,4,1.0,True
392,kricketune,4,3,0.75,True
393,krokorok,4,4,1.0,True
394,krookodile,4,4,1.0,True
395,kubfu,4,4,1.0,True
396,kyogre,4,4,1.0,True
397,lampent,4,4,1.0,True
398,lanturn,4,4,1.0,True
399,lapras,4,4,1.0,True
400,larvesta,4,4,1.0,True
401,larvitar,4,3,0.75,True
402,latias,4,4,1.0,True
403,latios,4,4,1.0,True
404,leafeon,4,2,0.5,True
405,leavanny,4,3,0.75,True
406,lechonk,4,4,1.0,True
407,ledyba,4,4,1.0,True
408,lickilicky,4,4,1.0,True
409,lickitung,4,4,1.0,True
410,liepard,4,4,1.0,True
411,lileep,4,4,1.0,True
412,lilligant,4,3,0.75,True
413,lilligant-hisui,4,3,0.75,True
414,lillipup,4,4,1.0,True
415,linoone-galar,4,3,0.75,True
416,litleo,4,4,1.0,True
417,litten,4,4,1.0,True
418,lokix,4,4,1.0,True
419,lombre,4,4,1.0,True
420,lopunny,4,4,1.0,True
421,lotad,4,4,1.0,True
422,loudred,4,4,1.0,True
423,lucario,4,1,0.25,True
424,ludicolo,4,4,1.0,True
425,lunala,4,3,0.75,True
426,lurantis,4,4,1.0,True
427,luvdisc,4,4,1.0,True
428,luxio,4,4,1.0,True
429,luxray,4,3,0.75,True
430,lycanroc-dusk,4,4,1.0,True
431,lycanroc-midday,4,4,1.0,True
432,lycanroc-midnight,4,4,1.0,True
433,mabosstiff,4,4,1.0,True
434,machop,4,2,0.5,True
435,magby,4,2,0.5,True
436,magcargo,4,4,1.0,True
437,magmar,4,4,1.0,True
438,magmortar,4,4,1.0,True
439,magnemite,4,4,1.0,True
440,magneton,4,4,1.0,True
441,makuhita,4,4,1.0,True
442,mandibuzz,4,4,1.0,True
443,manectric,4,4,1.0,True
444,maractus,4,3,0.75,True
445,mareanie,4,4,1.0,True
446,mareep,4,4,1.0,True
447,marill,4,3,0.75,True
448,marshadow-zenith,4,3,0.75,True
449,marshtomp,4,3,0.75,True
450,maschiff,4,3,0.75,True
451,masquerain,4,4,1.0,True
452,maushold,4,1,0.25,True
453,maushold-family-of-three,4,2,0.5,True
454,medicham,4,4,1.0,True
455,meditite,4,4,1.0,True
